index:ID,chemical,:LABEL
ETCM_XHCF_1,5-Desgalloylstachyurin,chemical
ETCM_XHCF_2,Eugeniin,chemical
ETCM_XHCF_3,1-O-Galloyl-Glucose,chemical
ETCM_XHCF_4,3-O-Galloyl Quinic Acid,chemical
ETCM_XHCF_5,4-O-Galloyl Quinic Acid,chemical
ETCM_XHCF_6,"2,3-O-(S)-Hexahydroxydiphenoyl-D-Glucopyranose",chemical
ETCM_XHCF_7,13-Methyl Tetradecanoic Acid,chemical
ETCM_XHCF_8,Oxypaeoniflorin,chemical
ETCM_XHCF_9,Paeonianiin E,chemical
ETCM_XHCF_10,Paeonianin A,chemical
ETCM_XHCF_11,Paeonianin B,chemical
ETCM_XHCF_12,Paeonianin C,chemical
ETCM_XHCF_13,Paeonianin D,chemical
ETCM_XHCF_14,Paeoniflorigenone,chemical
ETCM_XHCF_15,Paeoniflorin,chemical
ETCM_XHCF_16,Paeonilactone A,chemical
ETCM_XHCF_17,Paeonilactone B,chemical
ETCM_XHCF_18,Paeonilactone C,chemical
ETCM_XHCF_19,"Paeonol,Scopoletin",chemical
ETCM_XHCF_20,Palbinone,chemical
ETCM_XHCF_21,Pedunculagin,chemical
ETCM_XHCF_22,Peonin,chemical
ETCM_XHCF_23,Phenol,chemical
ETCM_XHCF_24,Pyrethrin I,chemical
ETCM_XHCF_25,Pyrethrin Ii,chemical
ETCM_XHCF_26,Strictinin,chemical
ETCM_XHCF_27,Tellimagrandin I,chemical
ETCM_XHCF_28,"1,2,4,6-Tetra-O-Galloyl-Î’-D-Glucose",chemical
ETCM_XHCF_29,"1,2,3-Tri-O-Galloyl-Î’-D-Glucose",chemical
ETCM_XHCF_30,"1,2,6-Tri-O-Galloyl-Î’-D-Glucose",chemical
ETCM_XHCF_31,"1,3,6-Trigalloyl-Î’-D-Glucose",chemical
ETCM_XHCF_32,Atractylenolide III,chemical
ETCM_XHCF_33,"Agarospirol,Hinesol",chemical
ETCM_XHCF_34,Î’-Humulene,chemical
ETCM_XHCF_35,Î’-Elemol,chemical
ETCM_XHCF_36,6-Methoxy-7-Hydroxycoumarin,chemical
ETCM_XHCF_37,Atractylenolide I,chemical
ETCM_XHCF_38,Atractylentriol,chemical
ETCM_XHCF_39,Atractylone,chemical
ETCM_XHCF_40,8Î’-Ethoxy Atractylenolide Iii,chemical
ETCM_XHCF_41,"(+)-Eudesma-4(15),7(11)-Dien-8-One",chemical
ETCM_XHCF_42,Juniper Camphor,chemical
ETCM_XHCF_43,"12-(Î‘-Methyl Butyryl)-14-Acetyl-2E,8E,10E-Atractylentriol",chemical
ETCM_XHCF_44,"12-(Î‘-Methyl Butyryl)-14-Acetyl-2E,8Z,10E-Atractylentriol",chemical
