index:ID,Disease_Name,:LABEL
ETCM_disease_id_1,3-Methylglutaconic Aciduria,disease
ETCM_disease_id_2,3-Methylglutaric Aciduria,disease
ETCM_disease_id_3,4-Hydroxyphenylacetic Aciduria,disease
ETCM_disease_id_4,4-Hydroxyphenylpyruvic Aciduria,disease
ETCM_disease_id_5,5-Oxoprolinase Deficiency,disease
ETCM_disease_id_6,Abdominal Aortic Aneurysm,disease
ETCM_disease_id_7,Abdominal Colic,disease
ETCM_disease_id_8,Abdominal Distention,disease
ETCM_disease_id_9,Abdominal Mass,disease
ETCM_disease_id_10,Abdominal Obesity,disease
ETCM_disease_id_11,Abdominal Pain,disease
ETCM_disease_id_12,Abdominal Wall Muscle Weakness,disease
ETCM_disease_id_13,Abducens Palsy,disease
ETCM_disease_id_14,Aberrant Crypt Foci,disease
ETCM_disease_id_15,Abetalipoproteinemia,disease
ETCM_disease_id_16,Abnormal Activity Of Mitochondrial Respiratory Chain,disease
ETCM_disease_id_17,Abnormal Aldolase Level,disease
ETCM_disease_id_18,Abnormal Amplitude Of Pattern Reversal Visual Evoked Potentials,disease
ETCM_disease_id_19,Abnormal Apolipoprotein Level,disease
ETCM_disease_id_20,Abnormal Atrioventricular Conduction,disease
ETCM_disease_id_21,Abnormal Autonomic Nervous System Physiology,disease
ETCM_disease_id_22,Abnormal Basophil Morphology,disease
ETCM_disease_id_23,Abnormal Bleeding,disease
ETCM_disease_id_24,Abnormal Blistering Of The Skin,disease
ETCM_disease_id_25,Abnormal Bone Ossification,disease
ETCM_disease_id_26,Abnormal Bone Structure,disease
ETCM_disease_id_27,Abnormal Bronchus Physiology,disease
ETCM_disease_id_28,Abnormal C-Peptide Level,disease
ETCM_disease_id_29,Abnormal Cartilage Collagen,disease
ETCM_disease_id_30,Abnormal Cholesterol Homeostasis,disease
ETCM_disease_id_31,Abnormal Circulating Aldosterone,disease
ETCM_disease_id_32,Abnormal Circulating Follicle-Stimulating Hormone Level,disease
ETCM_disease_id_33,Abnormal Circulating Insulin Level,disease
ETCM_disease_id_34,Abnormal Circulating Renin,disease
ETCM_disease_id_35,Abnormal Cornea Morphology,disease
ETCM_disease_id_36,Abnormal Cortical Gyration,disease
ETCM_disease_id_37,Abnormal Delayed Hypersensitivity Skin Test,disease
ETCM_disease_id_38,Abnormal Eating Behavior,disease
ETCM_disease_id_39,Abnormal Echocardiogram,disease
ETCM_disease_id_40,Abnormal Ekg,disease
ETCM_disease_id_41,Abnormal Electroretinogram,disease
ETCM_disease_id_42,Abnormal Enchondral Ossification,disease
ETCM_disease_id_43,Abnormal Enzyme/Coenzyme Activity,disease
ETCM_disease_id_44,Abnormal Eosinophil Morphology,disease
ETCM_disease_id_45,Abnormal Erythrocyte Morphology,disease
ETCM_disease_id_46,Abnormal Eyelash Morphology,disease
ETCM_disease_id_47,Abnormal Facial Expression,disease
ETCM_disease_id_48,Abnormal Facility In Opposing The Shoulders,disease
ETCM_disease_id_49,Abnormal Foot Bone Ossification,disease
ETCM_disease_id_50,Abnormal Globus Pallidus Morphology,disease
ETCM_disease_id_51,Abnormal Glucose Tolerance,disease
ETCM_disease_id_52,Abnormal Glycosylation,disease
ETCM_disease_id_53,Abnormal Granulocytopoietic Cell Morphology,disease
ETCM_disease_id_54,Abnormal Hair Pattern,disease
ETCM_disease_id_55,Abnormal Hair Quantity,disease
ETCM_disease_id_56,Abnormal Hair Whorl,disease
ETCM_disease_id_57,Abnormal Head Movements,disease
ETCM_disease_id_58,Abnormal Hemoglobin,disease
ETCM_disease_id_59,Abnormal Immunoglobulin Level,disease
ETCM_disease_id_60,Abnormal Intestine Morphology,disease
ETCM_disease_id_61,Abnormal Involuntary Eye Movements,disease
ETCM_disease_id_62,Abnormal Iris Vasculature,disease
ETCM_disease_id_63,Abnormal Iron Deposition In Mitochondria,disease
ETCM_disease_id_64,Abnormal Isoelectric Focusing Of Serum Transferrin,disease
ETCM_disease_id_65,Abnormal Joint Morphology,disease
ETCM_disease_id_66,Abnormal Lactate Dehydrogenase Activity,disease
ETCM_disease_id_67,Abnormal Large Intestine Morphology,disease
ETCM_disease_id_68,Abnormal Large Intestine Physiology,disease
ETCM_disease_id_69,Abnormal Leukocyte Morphology,disease
ETCM_disease_id_70,Abnormal Levels Of Creatine Kinase In Blood,disease
ETCM_disease_id_71,Abnormal Light- And Dark-Adapted Electroretinogram,disease
ETCM_disease_id_72,Abnormal Lower Motor Neuron Morphology,disease
ETCM_disease_id_73,Abnormal Metaphyseal Vascular Invasion,disease
ETCM_disease_id_74,Abnormal Middle Ear Reflexes,disease
ETCM_disease_id_75,Abnormal Mitochondria In Muscle Tissue,disease
ETCM_disease_id_76,Abnormal Mitochondrial Morphology,disease
ETCM_disease_id_77,Abnormal Mitochondrial Shape,disease
ETCM_disease_id_78,Abnormal Motor Neuron Morphology,disease
ETCM_disease_id_79,Abnormal Natural Killer Cell Physiology,disease
ETCM_disease_id_80,Abnormal Neutrophil Count,disease
ETCM_disease_id_81,Abnormal Oral Glucose Tolerance,disease
ETCM_disease_id_82,Abnormal Pattern Of Respiration,disease
ETCM_disease_id_83,Abnormal Peripheral Myelination,disease
ETCM_disease_id_84,Abnormal Peristalsis,disease
ETCM_disease_id_85,Abnormal Platelet Function,disease
ETCM_disease_id_86,Abnormal Platelet Granules,disease
ETCM_disease_id_87,Abnormal Platelet Morphology,disease
ETCM_disease_id_88,Abnormal Posturing,disease
ETCM_disease_id_89,Abnormal Prolactin Level,disease
ETCM_disease_id_90,Abnormal Protein O-Linked Glycosylation,disease
ETCM_disease_id_91,Abnormal Rapid Eye Movement Sleep,disease
ETCM_disease_id_92,Abnormal Renal Morphology,disease
ETCM_disease_id_93,Abnormal Renal Physiology,disease
ETCM_disease_id_94,Abnormal Serum Dehydroepiandrosterone Level,disease
ETCM_disease_id_95,Abnormal Serum Testosterone Level,disease
ETCM_disease_id_96,Abnormal Social Behavior,disease
ETCM_disease_id_97,Abnormal Spermatogenesis,disease
ETCM_disease_id_98,Abnormal Subcutaneous Fat Tissue Distribution,disease
ETCM_disease_id_99,Abnormal T Cell Morphology,disease
ETCM_disease_id_100,Abnormal Thrombocyte Morphology,disease
ETCM_disease_id_101,Abnormal Thrombosis,disease
ETCM_disease_id_102,Abnormal Umbilical Stump Bleeding,disease
ETCM_disease_id_103,Abnormal Upper Motor Neuron Morphology,disease
ETCM_disease_id_104,Abnormal Urinary Color,disease
ETCM_disease_id_105,Abnormal Urine Alpha-Ketoglutarate Concentration,disease
ETCM_disease_id_106,Abnormal Urine Potassium Concentration,disease
ETCM_disease_id_107,Abnormality Of Acetylcarnitine Metabolism,disease
ETCM_disease_id_108,Abnormality Of Amino Acid Metabolism,disease
ETCM_disease_id_109,Abnormality Of B Cell Physiology,disease
ETCM_disease_id_110,Abnormality Of Blood And Blood-Forming Tissues,disease
ETCM_disease_id_111,Abnormality Of Body Height,disease
ETCM_disease_id_112,Abnormality Of Bone Marrow Cell Morphology,disease
ETCM_disease_id_113,Abnormality Of Bone Mineral Density,disease
ETCM_disease_id_114,Abnormality Of Branched Chain Family Amino Acid Metabolism,disease
ETCM_disease_id_115,Abnormality Of Calcium-Phosphate Metabolism,disease
ETCM_disease_id_116,Abnormality Of Carboxylic Acid Metabolism,disease
ETCM_disease_id_117,Abnormality Of Cardiovascular System Morphology,disease
ETCM_disease_id_118,Abnormality Of Central Motor Conduction,disease
ETCM_disease_id_119,Abnormality Of Cholesterol Metabolism,disease
ETCM_disease_id_120,Abnormality Of Chromosome Segregation,disease
ETCM_disease_id_121,Abnormality Of Chromosome Stability,disease
ETCM_disease_id_122,Abnormality Of Circulating Adrenocorticotropin Level,disease
ETCM_disease_id_123,Abnormality Of Circulating Enzyme Level,disease
ETCM_disease_id_124,Abnormality Of Circulating Leptin Level,disease
ETCM_disease_id_125,Abnormality Of Coagulation,disease
ETCM_disease_id_126,Abnormality Of Color Vision,disease
ETCM_disease_id_127,Abnormality Of Complement System,disease
ETCM_disease_id_128,Abnormality Of Connective Tissue,disease
ETCM_disease_id_129,Abnormality Of Creatine Metabolism,disease
ETCM_disease_id_130,Abnormality Of Dental Color,disease
ETCM_disease_id_131,Abnormality Of Dental Enamel,disease
ETCM_disease_id_132,Abnormality Of Earlobe,disease
ETCM_disease_id_133,Abnormality Of Exocrine Pancreas Physiology,disease
ETCM_disease_id_134,Abnormality Of Extrapyramidal Motor Function,disease
ETCM_disease_id_135,Abnormality Of Eye Movement,disease
ETCM_disease_id_136,Abnormality Of Fatty-Acid Metabolism,disease
ETCM_disease_id_137,Abnormality Of Female External Genitalia,disease
ETCM_disease_id_138,Abnormality Of Female Internal Genitalia,disease
ETCM_disease_id_139,Abnormality Of Ganglioside Metabolism,disease
ETCM_disease_id_140,Abnormality Of Glutamine Metabolism,disease
ETCM_disease_id_141,Abnormality Of Glycosphingolipid Metabolism,disease
ETCM_disease_id_142,Abnormality Of Hair Density,disease
ETCM_disease_id_143,Abnormality Of Hair Growth Rate,disease
ETCM_disease_id_144,Abnormality Of Hair Pigmentation,disease
ETCM_disease_id_145,Abnormality Of Hair Texture,disease
ETCM_disease_id_146,Abnormality Of Histidine Metabolism,disease
ETCM_disease_id_147,Abnormality Of Immune System Physiology,disease
ETCM_disease_id_148,Abnormality Of Iron Homeostasis,disease
ETCM_disease_id_149,Abnormality Of Leucine Metabolism,disease
ETCM_disease_id_150,Abnormality Of Lipid Metabolism,disease
ETCM_disease_id_151,Abnormality Of Male External Genitalia,disease
ETCM_disease_id_152,Abnormality Of Male Internal Genitalia,disease
ETCM_disease_id_153,Abnormality Of Masticatory Muscle,disease
ETCM_disease_id_154,Abnormality Of Metabolism/Homeostasis,disease
ETCM_disease_id_155,Abnormality Of Mitochondrial Metabolism,disease
ETCM_disease_id_156,Abnormality Of Movement,disease
ETCM_disease_id_157,Abnormality Of Mucopolysaccharide Metabolism,disease
ETCM_disease_id_158,Abnormality Of Multiple Cell Lineages In The Bone Marrow,disease
ETCM_disease_id_159,Abnormality Of Muscle Fibers,disease
ETCM_disease_id_160,Abnormality Of Nail Color,disease
ETCM_disease_id_161,Abnormality Of Neck Blood Vessel,disease
ETCM_disease_id_162,Abnormality Of Nervous System Morphology,disease
ETCM_disease_id_163,Abnormality Of Neuronal Migration,disease
ETCM_disease_id_164,Abnormality Of Neutrophil Physiology,disease
ETCM_disease_id_165,Abnormality Of Neutrophils,disease
ETCM_disease_id_166,Abnormality Of Ocular Abduction,disease
ETCM_disease_id_167,Abnormality Of Ocular Smooth Pursuit,disease
ETCM_disease_id_168,Abnormality Of Peripheral Nerve Conduction,disease
ETCM_disease_id_169,Abnormality Of Phytanic Acid Metabolism,disease
ETCM_disease_id_170,Abnormality Of Renal Excretion,disease
ETCM_disease_id_171,Abnormality Of Reproductive System Physiology,disease
ETCM_disease_id_172,Abnormality Of Salivation,disease
ETCM_disease_id_173,Abnormality Of Secondary Sexual Hair,disease
ETCM_disease_id_174,Abnormality Of Skeletal Muscles,disease
ETCM_disease_id_175,Abnormality Of Skin Pigmentation,disease
ETCM_disease_id_176,Abnormality Of Temperature Regulation,disease
ETCM_disease_id_177,Abnormality Of The Abdominal Musculature,disease
ETCM_disease_id_178,Abnormality Of The Abdominal Wall,disease
ETCM_disease_id_179,Abnormality Of The Adrenal Glands,disease
ETCM_disease_id_180,Abnormality Of The Ankles,disease
ETCM_disease_id_181,Abnormality Of The Anus,disease
ETCM_disease_id_182,Abnormality Of The Autonomic Nervous System,disease
ETCM_disease_id_183,Abnormality Of The Basal Ganglia,disease
ETCM_disease_id_184,Abnormality Of The Breast,disease
