index:ID,herbName,:LABEL
HN1,金鱼藤,herb
HN2,土沉香,herb
HN3,蓍草,herb
HN4,橡实,herb
HN5,山刺柏,herb
HN6,黄瓜叶,herb
HN7,陈仓米,herb
HN8,欧当归,herb
HN9,樟梨,herb
HN10,蚶,herb
HN11,老虎俐,herb
HN12,郁金香,herb
HN13,短柱梅花草,herb
HN14,密褶红菇,herb
HN15,透明草,herb
HN16,大皂角,herb
HN17,白花猪母菜,herb
HN18,血水草根,herb
HN19,金老梅枝,herb
HN20,酸角,herb
HN21,花木通,herb
HN22,地打果树皮,herb
HN23,鸭胆,herb
HN24,牛耳草,herb
HN25,华山矾果,herb
HN26,长叶竹根七,herb
HN27,茖葱,herb
HN28,木竹子,herb
HN29,米碎木皮,herb
HN30,青葙子,herb
HN31,白桂,herb
HN32,庵子,herb
HN33,商陆,herb
HN34,蜀椒,herb
HN35,豹皮樟,herb
HN36,南烛子,herb
HN37,雷丸,herb
HN38,甘蔗皮,herb
HN39,香蓼,herb
HN40,昆明鸡血藤,herb
HN41,白果,herb
HN42,小大黄,herb
HN43,白药子,herb
HN44,药茴香,herb
HN45,商陆花,herb
HN46,杜松,herb
HN47,黍茎,herb
HN48,野丁香,herb
HN49,鸱头,herb
HN50,胡子七,herb
HN51,蓟罂粟,herb
HN52,猪心,herb
HN53,柿蒂,herb
HN54,翡翠,herb
HN55,金丝藤,herb
HN56,少果吴茱萸,herb
HN57,窄叶南蛇藤,herb
HN58,五齿剑,herb
HN59,石蛇,herb
HN60,北豆根片,herb
HN61,苦瓜花,herb
HN62,金老梅叶,herb
HN63,李树胶,herb
HN64,粟米泔汁,herb
HN65,香茅花,herb
HN66,长叶珊瑚果,herb
HN67,樟木钻,herb
HN68,礞石,herb
HN69,盾叶薯蓣,herb
HN70,水翁根,herb
HN71,姜花果实,herb
HN72,向日葵花,herb
HN73,桑螵蛸,herb
HN74,丛枝蓼,herb
HN75,高山唐松草,herb
HN76,石蜈蚣,herb
HN77,莎草蕨,herb
HN78,红土子,herb
HN79,槲皮,herb
HN80,笔筒草,herb
HN81,焦三仙,herb
HN82,雀,herb
HN83,刀灰树,herb
HN84,塔黄,herb
HN85,铁鞭草,herb
HN86,抓地虎,herb
HN87,半春莲,herb
HN88,红毛叶马蹄香,herb
HN89,覆盆子叶,herb
HN90,乌龙摆尾,herb
HN91,两面刺,herb
HN92,大叶拿身草,herb
HN93,扁担蒿,herb
HN94,人头七,herb
HN95,水松,herb
HN96,昆明山海棠片,herb
HN97,岩柏,herb
HN98,卵叶橐吾,herb
HN99,鸭肪,herb
HN100,五福化毒丸,herb
HN101,一点红,herb
HN102,白鬼笔,herb
HN103,冬葵叶,herb
HN104,甘蔗,herb
HN105,栎叶槲蕨,herb
HN106,水蕨,herb
HN107,厚皮香花,herb
HN108,短萼黄连,herb
HN109,羊角草,herb
HN110,云实蛀虫,herb
HN111,倒根蓼,herb
HN112,莨菪叶,herb
HN113,青金石,herb
HN114,小甘草,herb
HN115,马蹄金,herb
HN116,山苏子根,herb
HN117,云南红豆蔻果,herb
HN118,苏子,herb
HN119,田基黄,herb
HN120,甜瓜根,herb
HN121,毛稔根,herb
HN122,桂皮油,herb
HN123,长叶实蕨,herb
HN124,连心麦冬,herb
HN125,紫藤子,herb
HN126,大山黧豆,herb
HN127,人面子,herb
HN128,海柏,herb
HN129,禾叶墨斛,herb
HN130,广西过路黄,herb
HN131,颠茄酊,herb
HN132,水稻清乳汁,herb
HN133,白果根,herb
HN134,东风螺,herb
HN135,豚卵,herb
HN136,棱枝卫矛,herb
HN137,豆角柴,herb
HN138,百眼藤,herb
HN139,狗尾草子,herb
HN140,海星,herb
HN141,凤尾参,herb
HN142,箭杆风,herb
HN143,竹柏,herb
HN144,山羊油,herb
HN145,黄连羊肝丸,herb
HN146,山白蜡条,herb
HN147,新香草,herb
HN148,细辛,herb
HN149,白石英,herb
HN150,虾,herb
HN151,渐尖叶独活,herb
HN152,毛叶楼梯草,herb
HN153,茸草,herb
HN154,树腰子,herb
HN155,广香藤,herb
HN156,沙糖根,herb
HN157,青兔耳风,herb
HN158,三枝枪,herb
HN159,牛血,herb
HN160,橡木皮,herb
HN161,四时青,herb
HN162,血见愁老鹳草,herb
HN163,大团囊虫草,herb
HN164,黑骨头,herb
HN165,尖萼厚皮香,herb
HN166,墨,herb
HN167,鸡蛋七叶,herb
HN168,陈芥菜卤汁,herb
