index:ID,protein,:LABEL
0,9606.ENSP00000272322,protein
1,9606.ENSP00000216039,protein
2,9606.ENSP00000349401,protein
3,9606.ENSP00000396960,protein
4,9606.ENSP00000229329,protein
5,9606.ENSP00000370007,protein
6,9606.ENSP00000313921,protein
7,9606.ENSP00000284637,protein
8,9606.ENSP00000373123,protein
9,9606.ENSP00000294304,protein
10,9606.ENSP00000361718,protein
11,9606.ENSP00000379003,protein
12,9606.ENSP00000264711,protein
13,9606.ENSP00000453129,protein
14,9606.ENSP00000298085,protein
15,9606.ENSP00000312587,protein
16,9606.ENSP00000296140,protein
17,9606.ENSP00000259951,protein
18,9606.ENSP00000265070,protein
19,9606.ENSP00000316990,protein
20,9606.ENSP00000171111,protein
21,9606.ENSP00000391727,protein
22,9606.ENSP00000286758,protein
23,9606.ENSP00000357829,protein
24,9606.ENSP00000316670,protein
25,9606.ENSP00000352802,protein
26,9606.ENSP00000313644,protein
27,9606.ENSP00000240316,protein
28,9606.ENSP00000407177,protein
29,9606.ENSP00000366030,protein
30,9606.ENSP00000391434,protein
31,9606.ENSP00000369075,protein
32,9606.ENSP00000252456,protein
33,9606.ENSP00000299351,protein
34,9606.ENSP00000332163,protein
35,9606.ENSP00000263370,protein
36,9606.ENSP00000381102,protein
37,9606.ENSP00000279968,protein
38,9606.ENSP00000189444,protein
39,9606.ENSP00000450687,protein
40,9606.ENSP00000316589,protein
41,9606.ENSP00000390155,protein
42,9606.ENSP00000369564,protein
43,9606.ENSP00000410396,protein
44,9606.ENSP00000361642,protein
45,9606.ENSP00000412394,protein
46,9606.ENSP00000420798,protein
47,9606.ENSP00000329507,protein
48,9606.ENSP00000365745,protein
49,9606.ENSP00000262719,protein
50,9606.ENSP00000356991,protein
51,9606.ENSP00000262238,protein
52,9606.ENSP00000369689,protein
53,9606.ENSP00000220325,protein
54,9606.ENSP00000404812,protein
55,9606.ENSP00000311528,protein
56,9606.ENSP00000298910,protein
57,9606.ENSP00000339580,protein
58,9606.ENSP00000292090,protein
59,9606.ENSP00000384169,protein
60,9606.ENSP00000377401,protein
61,9606.ENSP00000264434,protein
62,9606.ENSP00000195649,protein
63,9606.ENSP00000397631,protein
64,9606.ENSP00000400476,protein
65,9606.ENSP00000282296,protein
66,9606.ENSP00000330587,protein
67,9606.ENSP00000389534,protein
68,9606.ENSP00000355812,protein
69,9606.ENSP00000280886,protein
70,9606.ENSP00000377311,protein
71,9606.ENSP00000264265,protein
72,9606.ENSP00000264499,protein
73,9606.ENSP00000004103,protein
74,9606.ENSP00000337383,protein
75,9606.ENSP00000261708,protein
76,9606.ENSP00000347896,protein
77,9606.ENSP00000379034,protein
78,9606.ENSP00000358951,protein
79,9606.ENSP00000454253,protein
80,9606.ENSP00000300917,protein
81,9606.ENSP00000264033,protein
82,9606.ENSP00000247986,protein
83,9606.ENSP00000390786,protein
84,9606.ENSP00000346032,protein
85,9606.ENSP00000244364,protein
86,9606.ENSP00000405641,protein
87,9606.ENSP00000361666,protein
88,9606.ENSP00000296328,protein
89,9606.ENSP00000268607,protein
90,9606.ENSP00000388648,protein
91,9606.ENSP00000338562,protein
92,9606.ENSP00000413009,protein
93,9606.ENSP00000408957,protein
94,9606.ENSP00000318409,protein
95,9606.ENSP00000368464,protein
96,9606.ENSP00000254940,protein
97,9606.ENSP00000343274,protein
98,9606.ENSP00000254976,protein
99,9606.ENSP00000445366,protein
100,9606.ENSP00000319851,protein
101,9606.ENSP00000335106,protein
102,9606.ENSP00000412319,protein
103,9606.ENSP00000285635,protein
104,9606.ENSP00000370568,protein
105,9606.ENSP00000401859,protein
106,9606.ENSP00000324175,protein
107,9606.ENSP00000374328,protein
108,9606.ENSP00000291860,protein
109,9606.ENSP00000261881,protein
110,9606.ENSP00000303580,protein
111,9606.ENSP00000358862,protein
112,9606.ENSP00000368758,protein
113,9606.ENSP00000258201,protein
114,9606.ENSP00000251535,protein
115,9606.ENSP00000407981,protein
116,9606.ENSP00000218758,protein
117,9606.ENSP00000398276,protein
118,9606.ENSP00000356705,protein
119,9606.ENSP00000264451,protein
120,9606.ENSP00000290332,protein
121,9606.ENSP00000392535,protein
122,9606.ENSP00000261413,protein
123,9606.ENSP00000344976,protein
124,9606.ENSP00000369344,protein
125,9606.ENSP00000269503,protein
126,9606.ENSP00000388723,protein
127,9606.ENSP00000354774,protein
128,9606.ENSP00000223642,protein
129,9606.ENSP00000408311,protein
130,9606.ENSP00000222390,protein
131,9606.ENSP00000256319,protein
132,9606.ENSP00000350136,protein
133,9606.ENSP00000359635,protein
134,9606.ENSP00000354968,protein
135,9606.ENSP00000348128,protein
136,9606.ENSP00000367422,protein
137,9606.ENSP00000383520,protein
138,9606.ENSP00000335486,protein
139,9606.ENSP00000386971,protein
140,9606.ENSP00000297151,protein
141,9606.ENSP00000364859,protein
142,9606.ENSP00000263181,protein
143,9606.ENSP00000389039,protein
144,9606.ENSP00000326967,protein
145,9606.ENSP00000261366,protein
146,9606.ENSP00000352911,protein
147,9606.ENSP00000258886,protein
148,9606.ENSP00000269122,protein
149,9606.ENSP00000276344,protein
150,9606.ENSP00000369554,protein
151,9606.ENSP00000271688,protein
152,9606.ENSP00000341565,protein
153,9606.ENSP00000258962,protein
154,9606.ENSP00000349932,protein
155,9606.ENSP00000007264,protein
156,9606.ENSP00000365514,protein
157,9606.ENSP00000319062,protein
158,9606.ENSP00000255858,protein
159,9606.ENSP00000410748,protein
160,9606.ENSP00000355827,protein
161,9606.ENSP00000372684,protein
162,9606.ENSP00000295974,protein
163,9606.ENSP00000253079,protein
164,9606.ENSP00000227524,protein
165,9606.ENSP00000297532,protein
166,9606.ENSP00000332293,protein
167,9606.ENSP00000361795,protein
168,9606.ENSP00000324464,protein
169,9606.ENSP00000356906,protein
170,9606.ENSP00000313500,protein
171,9606.ENSP00000334514,protein
172,9606.ENSP00000435342,protein
173,9606.ENSP00000264218,protein
174,9606.ENSP00000420381,protein
175,9606.ENSP00000362298,protein
176,9606.ENSP00000371548,protein
177,9606.ENSP00000326003,protein
178,9606.ENSP00000278590,protein
179,9606.ENSP00000251496,protein
180,9606.ENSP00000384957,protein
181,9606.ENSP00000353770,protein
182,9606.ENSP00000431443,protein
183,9606.ENSP00000376103,protein
184,9606.ENSP00000303908,protein
185,9606.ENSP00000281631,protein
186,9606.ENSP00000388613,protein
187,9606.ENSP00000296333,protein
188,9606.ENSP00000381935,protein
189,9606.ENSP00000424870,protein
190,9606.ENSP00000260058,protein
191,9606.ENSP00000356846,protein
192,9606.ENSP00000381425,protein
193,9606.ENSP00000302918,protein
194,9606.ENSP00000376178,protein
195,9606.ENSP00000303349,protein
196,9606.ENSP00000310485,protein
197,9606.ENSP00000303775,protein
198,9606.ENSP00000286744,protein
199,9606.ENSP00000419751,protein
200,9606.ENSP00000345824,protein
201,9606.ENSP00000295833,protein
202,9606.ENSP00000343022,protein
203,9606.ENSP00000328169,protein
204,9606.ENSP00000393939,protein
205,9606.ENSP00000298129,protein
206,9606.ENSP00000267079,protein
207,9606.ENSP00000307604,protein
208,9606.ENSP00000365057,protein
209,9606.ENSP00000324742,protein
210,9606.ENSP00000314560,protein
211,9606.ENSP00000323584,protein
212,9606.ENSP00000353910,protein
213,9606.ENSP00000263753,protein
214,9606.ENSP00000315949,protein
215,9606.ENSP00000307726,protein
216,9606.ENSP00000371527,protein
217,9606.ENSP00000330200,protein
218,9606.ENSP00000368959,protein
219,9606.ENSP00000265069,protein
220,9606.ENSP00000326693,protein
221,9606.ENSP00000381660,protein
222,9606.ENSP00000264728,protein
223,9606.ENSP00000245796,protein
224,9606.ENSP00000317619,protein
225,9606.ENSP00000363425,protein
226,9606.ENSP00000255129,protein
227,9606.ENSP00000368318,protein
228,9606.ENSP00000351716,protein
229,9606.ENSP00000428603,protein
230,9606.ENSP00000281830,protein
231,9606.ENSP00000242475,protein
232,9606.ENSP00000395159,protein
233,9606.ENSP00000185150,protein
234,9606.ENSP00000358956,protein
235,9606.ENSP00000366036,protein
236,9606.ENSP00000344874,protein
237,9606.ENSP00000288422,protein
238,9606.ENSP00000396876,protein
239,9606.ENSP00000265007,protein
240,9606.ENSP00000330278,protein
241,9606.ENSP00000372694,protein
242,9606.ENSP00000216479,protein
243,9606.ENSP00000406027,protein
244,9606.ENSP00000295208,protein
245,9606.ENSP00000274811,protein
246,9606.ENSP00000465213,protein
247,9606.ENSP00000303373,protein
248,9606.ENSP00000370460,protein
249,9606.ENSP00000419975,protein
250,9606.ENSP00000265104,protein
251,9606.ENSP00000331791,protein
252,9606.ENSP00000283415,protein
253,9606.ENSP00000339730,protein
254,9606.ENSP00000274024,protein
255,9606.ENSP00000278919,protein
256,9606.ENSP00000247306,protein
257,9606.ENSP00000325120,protein
258,9606.ENSP00000372883,protein
259,9606.ENSP00000410942,protein
260,9606.ENSP00000374859,protein
261,9606.ENSP00000265758,protein
262,9606.ENSP00000401461,protein
263,9606.ENSP00000358802,protein
264,9606.ENSP00000272644,protein
265,9606.ENSP00000216392,protein
266,9606.ENSP00000334276,protein
267,9606.ENSP00000286063,protein
268,9606.ENSP00000383506,protein
269,9606.ENSP00000273359,protein
270,9606.ENSP00000325395,protein
271,9606.ENSP00000320219,protein
272,9606.ENSP00000272907,protein
273,9606.ENSP00000362650,protein
274,9606.ENSP00000387966,protein
275,9606.ENSP00000369419,protein
276,9606.ENSP00000268271,protein
277,9606.ENSP00000261200,protein
278,9606.ENSP00000316854,protein
279,9606.ENSP00000357643,protein
280,9606.ENSP00000312311,protein
281,9606.ENSP00000341006,protein
282,9606.ENSP00000366827,protein
283,9606.ENSP00000369154,protein
284,9606.ENSP00000361170,protein
285,9606.ENSP00000261439,protein
286,9606.ENSP00000403791,protein
287,9606.ENSP00000307080,protein
288,9606.ENSP00000217456,protein
289,9606.ENSP00000358404,protein
290,9606.ENSP00000379282,protein
291,9606.ENSP00000363414,protein
292,9606.ENSP00000265572,protein
293,9606.ENSP00000402323,protein
294,9606.ENSP00000265433,protein
295,9606.ENSP00000342818,protein
296,9606.ENSP00000339933,protein
297,9606.ENSP00000354910,protein
298,9606.ENSP00000221459,protein
299,9606.ENSP00000426103,protein
300,9606.ENSP00000408709,protein
301,9606.ENSP00000416062,protein
302,9606.ENSP00000309181,protein
303,9606.ENSP00000346045,protein
304,9606.ENSP00000007699,protein
305,9606.ENSP00000351894,protein
306,9606.ENSP00000362329,protein
307,9606.ENSP00000389443,protein
308,9606.ENSP00000411397,protein
309,9606.ENSP00000381081,protein
310,9606.ENSP00000333799,protein
311,9606.ENSP00000353820,protein
312,9606.ENSP00000344779,protein
313,9606.ENSP00000383411,protein
314,9606.ENSP00000315111,protein
315,9606.ENSP00000238508,protein
316,9606.ENSP00000254051,protein
317,9606.ENSP00000389657,protein
318,9606.ENSP00000304668,protein
319,9606.ENSP00000418668,protein
320,9606.ENSP00000254262,protein
321,9606.ENSP00000396995,protein
322,9606.ENSP00000304051,protein
323,9606.ENSP00000412733,protein
324,9606.ENSP00000375133,protein
325,9606.ENSP00000298527,protein
326,9606.ENSP00000459962,protein
327,9606.ENSP00000320936,protein
328,9606.ENSP00000364784,protein
329,9606.ENSP00000406778,protein
330,9606.ENSP00000317595,protein
331,9606.ENSP00000246032,protein
332,9606.ENSP00000223398,protein
333,9606.ENSP00000386104,protein
334,9606.ENSP00000336127,protein
335,9606.ENSP00000361154,protein
336,9606.ENSP00000281437,protein
337,9606.ENSP00000289119,protein
338,9606.ENSP00000309161,protein
339,9606.ENSP00000382717,protein
340,9606.ENSP00000343488,protein
341,9606.ENSP00000354665,protein
342,9606.ENSP00000264498,protein
343,9606.ENSP00000381167,protein
344,9606.ENSP00000288466,protein
345,9606.ENSP00000391402,protein
346,9606.ENSP00000362107,protein
347,9606.ENSP00000433919,protein
348,9606.ENSP00000279028,protein
349,9606.ENSP00000271628,protein
350,9606.ENSP00000374455,protein
351,9606.ENSP00000374841,protein
352,9606.ENSP00000297282,protein
353,9606.ENSP00000305596,protein
354,9606.ENSP00000381237,protein
355,9606.ENSP00000283206,protein
356,9606.ENSP00000359772,protein
357,9606.ENSP00000349324,protein
358,9606.ENSP00000254846,protein
359,9606.ENSP00000352265,protein
360,9606.ENSP00000266014,protein
361,9606.ENSP00000368517,protein
362,9606.ENSP00000251547,protein
363,9606.ENSP00000341734,protein
364,9606.ENSP00000360266,protein
365,9606.ENSP00000306678,protein
366,9606.ENSP00000261799,protein
367,9606.ENSP00000404192,protein
368,9606.ENSP00000358963,protein
369,9606.ENSP00000373004,protein
370,9606.ENSP00000303468,protein
371,9606.ENSP00000327072,protein
372,9606.ENSP00000295110,protein
373,9606.ENSP00000368972,protein
374,9606.ENSP00000374983,protein
375,9606.ENSP00000414891,protein
376,9606.ENSP00000216064,protein
377,9606.ENSP00000385142,protein
378,9606.ENSP00000366326,protein
379,9606.ENSP00000294066,protein
380,9606.ENSP00000397100,protein
381,9606.ENSP00000404676,protein
382,9606.ENSP00000254508,protein
383,9606.ENSP00000357973,protein
384,9606.ENSP00000358262,protein
385,9606.ENSP00000225550,protein
386,9606.ENSP00000317404,protein
387,9606.ENSP00000369592,protein
388,9606.ENSP00000361584,protein
389,9606.ENSP00000314897,protein
390,9606.ENSP00000363318,protein
391,9606.ENSP00000310697,protein
392,9606.ENSP00000410360,protein
393,9606.ENSP00000395701,protein
394,9606.ENSP00000382346,protein
395,9606.ENSP00000348163,protein
396,9606.ENSP00000238607,protein
