,:START_ID,:END_ID,relation,:TYPE
0,HN3126,GJ5,channel_tropism,channel_tropism
1,HN3126,GJ3,channel_tropism,channel_tropism
2,HN3126,GJ2,channel_tropism,channel_tropism
3,HN4453,GJ3,channel_tropism,channel_tropism
4,HN4453,GJ2,channel_tropism,channel_tropism
5,HN4453,GJ1,channel_tropism,channel_tropism
6,HN3725,GJ5,channel_tropism,channel_tropism
7,HN3725,GJ3,channel_tropism,channel_tropism
8,HN8081,GJ7,channel_tropism,channel_tropism
9,HN8081,GJ6,channel_tropism,channel_tropism
10,HN8391,GJ7,channel_tropism,channel_tropism
11,HN8391,GJ6,channel_tropism,channel_tropism
12,HN927,GJ5,channel_tropism,channel_tropism
13,HN927,GJ2,channel_tropism,channel_tropism
14,HN5591,GJ5,channel_tropism,channel_tropism
15,HN5591,GJ2,channel_tropism,channel_tropism
16,HN6178,GJ6,channel_tropism,channel_tropism
17,HN6178,GJ3,channel_tropism,channel_tropism
18,HN2351,GJ6,channel_tropism,channel_tropism
19,HN2351,GJ2,channel_tropism,channel_tropism
20,HN41,GJ5,channel_tropism,channel_tropism
21,HN41,GJ4,channel_tropism,channel_tropism
22,HN6673,GJ4,channel_tropism,channel_tropism
23,HN7196,GJ3,channel_tropism,channel_tropism
24,HN7196,GJ2,channel_tropism,channel_tropism
25,HN7196,GJ1,channel_tropism,channel_tropism
26,HN1125,GJ8,channel_tropism,channel_tropism
27,HN1125,GJ6,channel_tropism,channel_tropism
28,HN1125,GJ4,channel_tropism,channel_tropism
29,HN1297,GJ7,channel_tropism,channel_tropism
30,HN1297,GJ6,channel_tropism,channel_tropism
31,HN1297,GJ2,channel_tropism,channel_tropism
32,HN3006,GJ6,channel_tropism,channel_tropism
33,HN3006,GJ4,channel_tropism,channel_tropism
34,HN6072,GJ6,channel_tropism,channel_tropism
35,HN6072,GJ5,channel_tropism,channel_tropism
36,HN7213,GJ6,channel_tropism,channel_tropism
37,HN7213,GJ3,channel_tropism,channel_tropism
38,HN3986,GJ7,channel_tropism,channel_tropism
39,HN3986,GJ6,channel_tropism,channel_tropism
40,HN3986,GJ2,channel_tropism,channel_tropism
41,HN8617,GJ6,channel_tropism,channel_tropism
42,HN8617,GJ5,channel_tropism,channel_tropism
43,HN8617,GJ2,channel_tropism,channel_tropism
44,HN7792,GJ9,channel_tropism,channel_tropism
45,HN7792,GJ6,channel_tropism,channel_tropism
46,HN7792,GJ3,channel_tropism,channel_tropism
47,HN3238,GJ7,channel_tropism,channel_tropism
48,HN3238,GJ6,channel_tropism,channel_tropism
49,HN3238,GJ4,channel_tropism,channel_tropism
50,HN7741,GJ4,channel_tropism,channel_tropism
51,HN4113,GJ4,channel_tropism,channel_tropism
52,HN4113,GJ1,channel_tropism,channel_tropism
53,HN1382,GJ3,channel_tropism,channel_tropism
54,HN1382,GJ2,channel_tropism,channel_tropism
55,HN1382,GJ1,channel_tropism,channel_tropism
56,HN2935,GJ6,channel_tropism,channel_tropism
57,HN2935,GJ1,channel_tropism,channel_tropism
58,HN8044,GJ8,channel_tropism,channel_tropism
59,HN8044,GJ4,channel_tropism,channel_tropism
60,HN8044,GJ1,channel_tropism,channel_tropism
61,HN2276,GJ6,channel_tropism,channel_tropism
62,HN2276,GJ3,channel_tropism,channel_tropism
63,HN4581,GJ5,channel_tropism,channel_tropism
64,HN4581,GJ4,channel_tropism,channel_tropism
65,HN4581,GJ2,channel_tropism,channel_tropism
66,HN595,GJ4,channel_tropism,channel_tropism
67,HN595,GJ2,channel_tropism,channel_tropism
68,HN2993,GJ7,channel_tropism,channel_tropism
69,HN2993,GJ6,channel_tropism,channel_tropism
70,HN2993,GJ4,channel_tropism,channel_tropism
71,HN1754,GJ3,channel_tropism,channel_tropism
72,HN1754,GJ1,channel_tropism,channel_tropism
73,HN4429,GJ4,channel_tropism,channel_tropism
74,HN4429,GJ3,channel_tropism,channel_tropism
75,HN527,GJ6,channel_tropism,channel_tropism
76,HN527,GJ3,channel_tropism,channel_tropism
