,:START_ID,:END_ID,relation,:TYPE
0,HN3126,ETCM_XHCF_331,chemical_component,chemical
1,HN3126,ETCM_XHCF_480,chemical_component,chemical
2,HN3126,ETCM_XHCF_481,chemical_component,chemical
3,HN3126,ETCM_XHCF_482,chemical_component,chemical
4,HN3126,ETCM_XHCF_878,chemical_component,chemical
5,HN3126,ETCM_XHCF_1182,chemical_component,chemical
6,HN3126,ETCM_XHCF_1699,chemical_component,chemical
7,HN3126,ETCM_XHCF_1805,chemical_component,chemical
8,HN3126,ETCM_XHCF_1876,chemical_component,chemical
9,HN3126,ETCM_XHCF_2008,chemical_component,chemical
10,HN3126,ETCM_XHCF_2011,chemical_component,chemical
11,HN3126,ETCM_XHCF_2045,chemical_component,chemical
12,HN3126,ETCM_XHCF_2084,chemical_component,chemical
13,HN3126,ETCM_XHCF_2094,chemical_component,chemical
14,HN3126,ETCM_XHCF_2183,chemical_component,chemical
15,HN3126,ETCM_XHCF_2184,chemical_component,chemical
16,HN3126,ETCM_XHCF_2203,chemical_component,chemical
17,HN3126,ETCM_XHCF_2240,chemical_component,chemical
18,HN3126,ETCM_XHCF_2840,chemical_component,chemical
19,HN3126,ETCM_XHCF_2867,chemical_component,chemical
20,HN3126,ETCM_XHCF_2922,chemical_component,chemical
21,HN3126,ETCM_XHCF_3059,chemical_component,chemical
22,HN3126,ETCM_XHCF_3060,chemical_component,chemical
23,HN3126,ETCM_XHCF_3607,chemical_component,chemical
24,HN3126,ETCM_XHCF_3786,chemical_component,chemical
25,HN3126,ETCM_XHCF_3792,chemical_component,chemical
26,HN3126,ETCM_XHCF_3891,chemical_component,chemical
27,HN3126,ETCM_XHCF_4567,chemical_component,chemical
28,HN3126,ETCM_XHCF_4618,chemical_component,chemical
29,HN3126,ETCM_XHCF_5017,chemical_component,chemical
30,HN3126,ETCM_XHCF_5059,chemical_component,chemical
31,HN3126,ETCM_XHCF_5062,chemical_component,chemical
32,HN3126,ETCM_XHCF_5063,chemical_component,chemical
33,HN3126,ETCM_XHCF_5075,chemical_component,chemical
34,HN3126,ETCM_XHCF_5820,chemical_component,chemical
35,HN3126,ETCM_XHCF_6050,chemical_component,chemical
36,HN3126,ETCM_XHCF_6238,chemical_component,chemical
37,HN3126,ETCM_XHCF_6288,chemical_component,chemical
38,HN3126,ETCM_XHCF_6425,chemical_component,chemical
39,HN3126,ETCM_XHCF_6467,chemical_component,chemical
40,HN3126,ETCM_XHCF_6470,chemical_component,chemical
41,HN3126,ETCM_XHCF_6497,chemical_component,chemical
42,HN3126,ETCM_XHCF_6642,chemical_component,chemical
43,HN3126,ETCM_XHCF_6666,chemical_component,chemical
44,HN3126,ETCM_XHCF_6705,chemical_component,chemical
45,HN3126,ETCM_XHCF_6732,chemical_component,chemical
46,HN3126,ETCM_XHCF_6735,chemical_component,chemical
47,HN3126,ETCM_XHCF_6736,chemical_component,chemical
48,HN3126,ETCM_XHCF_6737,chemical_component,chemical
49,HN3126,ETCM_XHCF_6738,chemical_component,chemical
50,HN3126,ETCM_XHCF_6739,chemical_component,chemical
51,HN3126,ETCM_XHCF_6740,chemical_component,chemical
52,HN3126,ETCM_XHCF_6741,chemical_component,chemical
53,HN3126,ETCM_XHCF_6742,chemical_component,chemical
54,HN3126,ETCM_XHCF_6743,chemical_component,chemical
55,HN3126,ETCM_XHCF_6744,chemical_component,chemical
56,HN3126,ETCM_XHCF_6745,chemical_component,chemical
57,HN3126,ETCM_XHCF_6746,chemical_component,chemical
58,HN3126,ETCM_XHCF_6747,chemical_component,chemical
59,HN3126,ETCM_XHCF_6748,chemical_component,chemical
60,HN3126,ETCM_XHCF_6749,chemical_component,chemical
61,HN3126,ETCM_XHCF_6750,chemical_component,chemical
62,HN3126,ETCM_XHCF_6751,chemical_component,chemical
63,HN3126,ETCM_XHCF_6752,chemical_component,chemical
64,HN3126,ETCM_XHCF_6753,chemical_component,chemical
65,HN3126,ETCM_XHCF_6754,chemical_component,chemical
66,HN3126,ETCM_XHCF_6755,chemical_component,chemical
67,HN3126,ETCM_XHCF_6756,chemical_component,chemical
68,HN3126,ETCM_XHCF_6757,chemical_component,chemical
69,HN3126,ETCM_XHCF_6758,chemical_component,chemical
70,HN3126,ETCM_XHCF_6759,chemical_component,chemical
71,HN3126,ETCM_XHCF_6760,chemical_component,chemical
72,HN3126,ETCM_XHCF_6761,chemical_component,chemical
73,HN3126,ETCM_XHCF_6762,chemical_component,chemical
74,HN3126,ETCM_XHCF_6763,chemical_component,chemical
75,HN3126,ETCM_XHCF_6764,chemical_component,chemical
76,HN3126,ETCM_XHCF_6765,chemical_component,chemical
77,HN3126,ETCM_XHCF_6766,chemical_component,chemical
78,HN3126,ETCM_XHCF_6767,chemical_component,chemical
79,HN3126,ETCM_XHCF_6768,chemical_component,chemical
80,HN3126,ETCM_XHCF_6769,chemical_component,chemical
81,HN3126,ETCM_XHCF_6770,chemical_component,chemical
82,HN3126,ETCM_XHCF_6771,chemical_component,chemical
83,HN3126,ETCM_XHCF_6772,chemical_component,chemical
84,HN3126,ETCM_XHCF_6773,chemical_component,chemical
85,HN3126,ETCM_XHCF_6774,chemical_component,chemical
86,HN3126,ETCM_XHCF_6775,chemical_component,chemical
87,HN3126,ETCM_XHCF_6776,chemical_component,chemical
88,HN3126,ETCM_XHCF_6777,chemical_component,chemical
89,HN3126,ETCM_XHCF_6778,chemical_component,chemical
90,HN3126,ETCM_XHCF_6779,chemical_component,chemical
91,HN3126,ETCM_XHCF_6780,chemical_component,chemical
92,HN3126,ETCM_XHCF_6781,chemical_component,chemical
93,HN3126,ETCM_XHCF_6782,chemical_component,chemical
94,HN3126,ETCM_XHCF_6783,chemical_component,chemical
95,HN3126,ETCM_XHCF_6784,chemical_component,chemical
96,HN3126,ETCM_XHCF_6785,chemical_component,chemical
97,HN3126,ETCM_XHCF_6786,chemical_component,chemical
98,HN3126,ETCM_XHCF_6787,chemical_component,chemical
99,HN3126,ETCM_XHCF_6788,chemical_component,chemical
100,HN3126,ETCM_XHCF_6789,chemical_component,chemical
101,HN3126,ETCM_XHCF_6790,chemical_component,chemical
102,HN3126,ETCM_XHCF_6791,chemical_component,chemical
103,HN3126,ETCM_XHCF_6792,chemical_component,chemical
104,HN3126,ETCM_XHCF_6793,chemical_component,chemical
105,HN3126,ETCM_XHCF_6794,chemical_component,chemical
106,HN3126,ETCM_XHCF_6795,chemical_component,chemical
107,HN3126,ETCM_XHCF_6796,chemical_component,chemical
108,HN3126,ETCM_XHCF_6797,chemical_component,chemical
109,HN3126,ETCM_XHCF_6798,chemical_component,chemical
110,HN3126,ETCM_XHCF_6799,chemical_component,chemical
111,HN3126,ETCM_XHCF_6800,chemical_component,chemical
112,HN3126,ETCM_XHCF_6801,chemical_component,chemical
113,HN3126,ETCM_XHCF_6802,chemical_component,chemical
114,HN3126,ETCM_XHCF_6803,chemical_component,chemical
115,HN3126,ETCM_XHCF_6804,chemical_component,chemical
116,HN3126,ETCM_XHCF_6805,chemical_component,chemical
117,HN3126,ETCM_XHCF_6806,chemical_component,chemical
118,HN3126,ETCM_XHCF_6807,chemical_component,chemical
119,HN3126,ETCM_XHCF_6808,chemical_component,chemical
120,HN3126,ETCM_XHCF_6809,chemical_component,chemical
121,HN3126,ETCM_XHCF_6810,chemical_component,chemical
122,HN3126,ETCM_XHCF_6811,chemical_component,chemical
123,HN3126,ETCM_XHCF_6812,chemical_component,chemical
124,HN3126,ETCM_XHCF_6813,chemical_component,chemical
125,HN3126,ETCM_XHCF_6814,chemical_component,chemical
126,HN3126,ETCM_XHCF_6815,chemical_component,chemical
127,HN3126,ETCM_XHCF_6816,chemical_component,chemical
128,HN3126,ETCM_XHCF_6817,chemical_component,chemical
129,HN3126,ETCM_XHCF_6818,chemical_component,chemical
130,HN3126,ETCM_XHCF_6819,chemical_component,chemical
131,HN3126,ETCM_XHCF_6820,chemical_component,chemical
132,HN3126,ETCM_XHCF_6821,chemical_component,chemical
133,HN3126,ETCM_XHCF_6822,chemical_component,chemical
134,HN3126,ETCM_XHCF_6823,chemical_component,chemical
135,HN3126,ETCM_XHCF_6824,chemical_component,chemical
136,HN3126,ETCM_XHCF_6825,chemical_component,chemical
137,HN3126,ETCM_XHCF_6826,chemical_component,chemical
138,HN3126,ETCM_XHCF_6827,chemical_component,chemical
139,HN3126,ETCM_XHCF_6828,chemical_component,chemical
140,HN3126,ETCM_XHCF_6829,chemical_component,chemical
141,HN3126,ETCM_XHCF_6830,chemical_component,chemical
142,HN3126,ETCM_XHCF_6831,chemical_component,chemical
143,HN3126,ETCM_XHCF_6832,chemical_component,chemical
144,HN3126,ETCM_XHCF_6833,chemical_component,chemical
145,HN3126,ETCM_XHCF_6834,chemical_component,chemical
146,HN3126,ETCM_XHCF_6835,chemical_component,chemical
147,HN3126,ETCM_XHCF_6836,chemical_component,chemical
148,HN3126,ETCM_XHCF_6837,chemical_component,chemical
149,HN3126,ETCM_XHCF_6838,chemical_component,chemical
150,HN3126,ETCM_XHCF_6839,chemical_component,chemical
151,HN3126,ETCM_XHCF_6840,chemical_component,chemical
152,HN3126,ETCM_XHCF_6841,chemical_component,chemical
153,HN3126,ETCM_XHCF_6842,chemical_component,chemical
154,HN3126,ETCM_XHCF_6843,chemical_component,chemical
155,HN3126,ETCM_XHCF_6844,chemical_component,chemical
156,HN3126,ETCM_XHCF_6845,chemical_component,chemical
157,HN3126,ETCM_XHCF_6846,chemical_component,chemical
158,HN3126,ETCM_XHCF_6847,chemical_component,chemical
159,HN3126,ETCM_XHCF_6848,chemical_component,chemical
160,HN3126,ETCM_XHCF_6849,chemical_component,chemical
161,HN3126,ETCM_XHCF_6850,chemical_component,chemical
162,HN3126,ETCM_XHCF_6851,chemical_component,chemical
163,HN3126,ETCM_XHCF_6852,chemical_component,chemical
164,HN3126,ETCM_XHCF_6853,chemical_component,chemical
165,HN3126,ETCM_XHCF_6854,chemical_component,chemical
166,HN3126,ETCM_XHCF_6855,chemical_component,chemical
167,HN3126,ETCM_XHCF_6856,chemical_component,chemical
168,HN3126,ETCM_XHCF_6857,chemical_component,chemical
169,HN3126,ETCM_XHCF_6858,chemical_component,chemical
170,HN3126,ETCM_XHCF_6859,chemical_component,chemical
171,HN3126,ETCM_XHCF_6860,chemical_component,chemical
172,HN3126,ETCM_XHCF_6861,chemical_component,chemical
173,HN3126,ETCM_XHCF_6862,chemical_component,chemical
174,HN3126,ETCM_XHCF_6863,chemical_component,chemical
175,HN3126,ETCM_XHCF_6864,chemical_component,chemical
176,HN3126,ETCM_XHCF_6865,chemical_component,chemical
177,HN3126,ETCM_XHCF_6866,chemical_component,chemical
178,HN3126,ETCM_XHCF_6867,chemical_component,chemical
179,HN3126,ETCM_XHCF_6868,chemical_component,chemical
180,HN3126,ETCM_XHCF_6869,chemical_component,chemical
181,HN3126,ETCM_XHCF_6870,chemical_component,chemical
182,HN3126,ETCM_XHCF_6871,chemical_component,chemical
183,HN3126,ETCM_XHCF_6872,chemical_component,chemical
184,HN3126,ETCM_XHCF_6873,chemical_component,chemical
185,HN3126,ETCM_XHCF_6874,chemical_component,chemical
186,HN3126,ETCM_XHCF_6875,chemical_component,chemical
187,HN3126,ETCM_XHCF_6876,chemical_component,chemical
188,HN3126,ETCM_XHCF_6877,chemical_component,chemical
189,HN3126,ETCM_XHCF_6878,chemical_component,chemical
190,HN3126,ETCM_XHCF_6879,chemical_component,chemical
191,HN3126,ETCM_XHCF_6880,chemical_component,chemical
192,HN3126,ETCM_XHCF_6881,chemical_component,chemical
193,HN3126,ETCM_XHCF_6882,chemical_component,chemical
194,HN3126,ETCM_XHCF_7112,chemical_component,chemical
195,HN4453,ETCM_XHCF_259,chemical_component,chemical
196,HN4453,ETCM_XHCF_6883,chemical_component,chemical
197,HN4453,ETCM_XHCF_6884,chemical_component,chemical
198,HN4453,ETCM_XHCF_6885,chemical_component,chemical
199,HN4453,ETCM_XHCF_6886,chemical_component,chemical
200,HN4453,ETCM_XHCF_6887,chemical_component,chemical
201,HN4453,ETCM_XHCF_6888,chemical_component,chemical
202,HN4453,ETCM_XHCF_6889,chemical_component,chemical
203,HN4453,ETCM_XHCF_6890,chemical_component,chemical
204,HN4453,ETCM_XHCF_6891,chemical_component,chemical
205,HN4453,ETCM_XHCF_6892,chemical_component,chemical
206,HN4453,ETCM_XHCF_6893,chemical_component,chemical
207,HN4453,ETCM_XHCF_6894,chemical_component,chemical
208,HN3725,ETCM_XHCF_243,chemical_component,chemical
209,HN3725,ETCM_XHCF_260,chemical_component,chemical
210,HN3725,ETCM_XHCF_331,chemical_component,chemical
211,HN3725,ETCM_XHCF_1739,chemical_component,chemical
212,HN3725,ETCM_XHCF_1805,chemical_component,chemical
213,HN3725,ETCM_XHCF_2043,chemical_component,chemical
214,HN3725,ETCM_XHCF_2045,chemical_component,chemical
215,HN3725,ETCM_XHCF_2573,chemical_component,chemical
216,HN3725,ETCM_XHCF_2808,chemical_component,chemical
217,HN3725,ETCM_XHCF_2867,chemical_component,chemical
218,HN3725,ETCM_XHCF_2892,chemical_component,chemical
