:START_ID,:END_ID,relation,:TYPE
HN3126,GX_1620,effect,effect
HN3126,GX_1788,effect,effect
HN3126,GX_1058,effect,effect
HN3126,GX_507,effect,effect
HN3126,GX_1254,effect,effect
HN3126,GX_869,effect,effect
HN3126,GX_1039,effect,effect
HN3126,GX_2277,effect,effect
HN3126,GX_1136,effect,effect
HN3126,GX_1367,effect,effect
HN3126,GX_1475,effect,effect
HN3126,GX_1459,effect,effect
HN3126,GX_2280,effect,effect
HN3126,GX_2318,effect,effect
HN3126,GX_443,effect,effect
HN3126,GX_1697,effect,effect
HN3126,GX_1775,effect,effect
HN3126,GX_1187,effect,effect
HN3126,GX_31,effect,effect
HN3126,GX_2279,effect,effect
HN3126,GX_1138,effect,effect
HN3126,GX_1060,effect,effect
HN3126,GX_1760,effect,effect
HN3126,GX_88,effect,effect
HN3126,GX_1194,effect,effect
HN3126,GX_52,effect,effect
HN3126,GX_2024,effect,effect
HN3126,GX_1513,effect,effect
HN3126,GX_2166,effect,effect
HN3126,GX_2073,effect,effect
HN3126,GX_654,effect,effect
HN3126,GX_1290,effect,effect
HN3126,GX_603,effect,effect
HN3126,GX_1132,effect,effect
HN3126,GX_412,effect,effect
HN3126,GX_1908,effect,effect
HN3126,GX_1426,effect,effect
HN3126,GX_1526,effect,effect
HN3126,GX_134,effect,effect
HN3126,GX_2339,effect,effect
HN3126,GX_231,effect,effect
HN3126,GX_2299,effect,effect
HN3126,GX_1125,effect,effect
HN3126,GX_391,effect,effect
HN3126,GX_1890,effect,effect
HN3126,GX_1559,effect,effect
HN3126,GX_1873,effect,effect
HN3126,GX_1056,effect,effect
HN3126,GX_72,effect,effect
HN3126,GX_672,effect,effect
HN3126,GX_838,effect,effect
HN3126,GX_1193,effect,effect
HN3126,GX_1866,effect,effect
HN3126,GX_1014,effect,effect
HN4453,GX_751,effect,effect
HN4453,GX_1638,effect,effect
HN4453,GX_1968,effect,effect
HN4453,GX_266,effect,effect
HN4453,GX_884,effect,effect
HN4453,GX_1225,effect,effect
HN4453,GX_186,effect,effect
HN4453,GX_1526,effect,effect
HN4453,GX_262,effect,effect
HN4453,GX_2173,effect,effect
HN4453,GX_648,effect,effect
HN4453,GX_933,effect,effect
HN4453,GX_533,effect,effect
HN4453,GX_541,effect,effect
HN4453,GX_425,effect,effect
HN4453,GX_2096,effect,effect
HN4453,GX_1398,effect,effect
HN4453,GX_1559,effect,effect
HN4453,GX_2279,effect,effect
HN4453,GX_1637,effect,effect
HN4453,GX_2121,effect,effect
HN4453,GX_1064,effect,effect
HN4453,GX_1493,effect,effect
HN4453,GX_1162,effect,effect
HN4453,GX_1574,effect,effect
HN4453,GX_2008,effect,effect
HN4453,GX_1088,effect,effect
HN4453,GX_1943,effect,effect
HN4453,GX_1721,effect,effect
HN4453,GX_2024,effect,effect
HN3725,GX_369,effect,effect
HN3725,GX_751,effect,effect
HN3725,GX_1535,effect,effect
HN3725,GX_1638,effect,effect
HN3725,GX_2147,effect,effect
HN3725,GX_1610,effect,effect
HN3725,GX_123,effect,effect
HN3725,GX_900,effect,effect
HN3725,GX_1759,effect,effect
HN3725,GX_242,effect,effect
HN3725,GX_31,effect,effect
HN3725,GX_108,effect,effect
HN3725,GX_721,effect,effect
HN3725,GX_1493,effect,effect
HN3725,GX_1709,effect,effect
HN3725,GX_1139,effect,effect
HN3725,GX_258,effect,effect
HN3725,GX_1434,effect,effect
HN3725,GX_1343,effect,effect
HN3725,GX_1987,effect,effect
HN3725,GX_2013,effect,effect
HN3725,GX_16,effect,effect
HN3725,GX_412,effect,effect
HN3725,GX_798,effect,effect
HN3725,GX_1908,effect,effect
HN3725,GX_2122,effect,effect
HN3725,GX_2346,effect,effect
HN3725,GX_1526,effect,effect
HN3725,GX_307,effect,effect
HN3725,GX_1097,effect,effect
HN3725,GX_1533,effect,effect
HN3725,GX_828,effect,effect
HN3725,GX_2310,effect,effect
HN3725,GX_1559,effect,effect
HN3725,GX_2036,effect,effect
HN8081,GX_1659,effect,effect
HN8081,GX_1278,effect,effect
HN8081,GX_729,effect,effect
HN8081,GX_1714,effect,effect
HN8081,GX_1254,effect,effect
HN8081,GX_1334,effect,effect
HN8081,GX_1724,effect,effect
HN8081,GX_2022,effect,effect
HN8081,GX_75,effect,effect
HN8081,GX_775,effect,effect
HN8081,GX_600,effect,effect
HN8081,GX_330,effect,effect
HN8081,GX_2214,effect,effect
HN8081,GX_2296,effect,effect
HN8081,GX_2165,effect,effect
HN8081,GX_242,effect,effect
HN8081,GX_575,effect,effect
