:START_ID,:END_ID,relation,:TYPE
HN8081,JJ_6,taboo,taboo
HN8081,JJ_2,taboo,taboo
HN8081,JJ_80,taboo,taboo
HN8081,JJ_8,taboo,taboo
HN8391,JJ_6,taboo,taboo
HN8391,JJ_2,taboo,taboo
HN2351,JJ_2,taboo,taboo
HN2351,JJ_82,taboo,taboo
HN2351,JJ_8,taboo,taboo
HN41,JJ_4,taboo,taboo
HN41,JJ_47,taboo,taboo
HN41,JJ_1,taboo,taboo
HN41,JJ_166,taboo,taboo
HN41,JJ_16,taboo,taboo
HN6673,JJ_3,taboo,taboo
HN7196,JJ_3,taboo,taboo
HN1125,JJ_43,taboo,taboo
HN1125,JJ_4,taboo,taboo
HN6072,JJ_2,taboo,taboo
HN6072,JJ_24,taboo,taboo
HN6072,JJ_5,taboo,taboo
HN8617,JJ_24,taboo,taboo
HN8617,JJ_2,taboo,taboo
HN1382,JJ_1,taboo,taboo
HN1382,JJ_155,taboo,taboo
HN1382,JJ_15,taboo,taboo
HN2276,JJ_2,taboo,taboo
HN2276,JJ_3,taboo,taboo
HN4581,JJ_2,taboo,taboo
HN2993,JJ_2,taboo,taboo
HN2993,JJ_72,taboo,taboo
HN2993,JJ_24,taboo,taboo
HN2993,JJ_7,taboo,taboo
HN4429,JJ_4,taboo,taboo
HN4429,JJ_43,taboo,taboo
HN6041,JJ_2,taboo,taboo
HN8087,JJ_24,taboo,taboo
HN8087,JJ_2,taboo,taboo
HN5568,JJ_2,taboo,taboo
HN950,JJ_82,taboo,taboo
HN950,JJ_8,taboo,taboo
HN2334,JJ_2,taboo,taboo
HN2334,JJ_13,taboo,taboo
HN2334,JJ_1,taboo,taboo
HN2334,JJ_24,taboo,taboo
HN2334,JJ_138,taboo,taboo
HN7079,JJ_2,taboo,taboo
HN7079,JJ_80,taboo,taboo
HN7079,JJ_8,taboo,taboo
HN8595,JJ_43,taboo,taboo
HN8595,JJ_4,taboo,taboo
HN3744,JJ_1,taboo,taboo
HN3744,JJ_166,taboo,taboo
HN3744,JJ_2,taboo,taboo
HN3744,JJ_16,taboo,taboo
HN3744,JJ_24,taboo,taboo
HN2083,JJ_3,taboo,taboo
