:START_ID,:END_ID,relation,:TYPE
11070,ETCM_Target_Genes_id_1,protein_gene_link,protein_gene_link
823,ETCM_Target_Genes_id_1785,protein_gene_link,protein_gene_link
14034,ETCM_Target_Genes_id_3,protein_gene_link,protein_gene_link
17572,ETCM_Target_Genes_id_4,protein_gene_link,protein_gene_link
19589,ETCM_Target_Genes_id_1892,protein_gene_link,protein_gene_link
2881,ETCM_Target_Genes_id_2124,protein_gene_link,protein_gene_link
12817,ETCM_Target_Genes_id_1616,protein_gene_link,protein_gene_link
13815,ETCM_Target_Genes_id_6,protein_gene_link,protein_gene_link
7414,ETCM_Target_Genes_id_7,protein_gene_link,protein_gene_link
8360,ETCM_Target_Genes_id_1710,protein_gene_link,protein_gene_link
17294,ETCM_Target_Genes_id_1025,protein_gene_link,protein_gene_link
7956,ETCM_Target_Genes_id_1026,protein_gene_link,protein_gene_link
8187,ETCM_Target_Genes_id_2049,protein_gene_link,protein_gene_link
12006,ETCM_Target_Genes_id_1971,protein_gene_link,protein_gene_link
7643,ETCM_Target_Genes_id_1967,protein_gene_link,protein_gene_link
12126,ETCM_Target_Genes_id_293,protein_gene_link,protein_gene_link
21269,ETCM_Target_Genes_id_1508,protein_gene_link,protein_gene_link
18754,ETCM_Target_Genes_id_1627,protein_gene_link,protein_gene_link
16994,ETCM_Target_Genes_id_1605,protein_gene_link,protein_gene_link
14796,ETCM_Target_Genes_id_1359,protein_gene_link,protein_gene_link
277,ETCM_Target_Genes_id_1606,protein_gene_link,protein_gene_link
3574,ETCM_Target_Genes_id_1588,protein_gene_link,protein_gene_link
21346,ETCM_Target_Genes_id_1578,protein_gene_link,protein_gene_link
19022,ETCM_Target_Genes_id_2219,protein_gene_link,protein_gene_link
20405,ETCM_Target_Genes_id_2220,protein_gene_link,protein_gene_link
8701,ETCM_Target_Genes_id_8,protein_gene_link,protein_gene_link
9822,ETCM_Target_Genes_id_9,protein_gene_link,protein_gene_link
14443,ETCM_Target_Genes_id_2214,protein_gene_link,protein_gene_link
19199,ETCM_Target_Genes_id_12,protein_gene_link,protein_gene_link
16901,ETCM_Target_Genes_id_1741,protein_gene_link,protein_gene_link
10302,ETCM_Target_Genes_id_13,protein_gene_link,protein_gene_link
20417,ETCM_Target_Genes_id_14,protein_gene_link,protein_gene_link
12647,ETCM_Target_Genes_id_59,protein_gene_link,protein_gene_link
17387,ETCM_Target_Genes_id_16,protein_gene_link,protein_gene_link
435,ETCM_Target_Genes_id_16,protein_gene_link,protein_gene_link
11815,ETCM_Target_Genes_id_1963,protein_gene_link,protein_gene_link
4676,ETCM_Target_Genes_id_389,protein_gene_link,protein_gene_link
21180,ETCM_Target_Genes_id_389,protein_gene_link,protein_gene_link
7631,ETCM_Target_Genes_id_1903,protein_gene_link,protein_gene_link
10997,ETCM_Target_Genes_id_17,protein_gene_link,protein_gene_link
1277,ETCM_Target_Genes_id_18,protein_gene_link,protein_gene_link
16757,ETCM_Target_Genes_id_1866,protein_gene_link,protein_gene_link
12381,ETCM_Target_Genes_id_19,protein_gene_link,protein_gene_link
10955,ETCM_Target_Genes_id_20,protein_gene_link,protein_gene_link
6698,ETCM_Target_Genes_id_21,protein_gene_link,protein_gene_link
8451,ETCM_Target_Genes_id_2177,protein_gene_link,protein_gene_link
2840,ETCM_Target_Genes_id_475,protein_gene_link,protein_gene_link
10543,ETCM_Target_Genes_id_476,protein_gene_link,protein_gene_link
17733,ETCM_Target_Genes_id_477,protein_gene_link,protein_gene_link
1766,ETCM_Target_Genes_id_1962,protein_gene_link,protein_gene_link
11978,ETCM_Target_Genes_id_1870,protein_gene_link,protein_gene_link
6128,ETCM_Target_Genes_id_22,protein_gene_link,protein_gene_link
18714,ETCM_Target_Genes_id_23,protein_gene_link,protein_gene_link
18260,ETCM_Target_Genes_id_23,protein_gene_link,protein_gene_link
9488,ETCM_Target_Genes_id_1613,protein_gene_link,protein_gene_link
1911,ETCM_Target_Genes_id_1612,protein_gene_link,protein_gene_link
