症状,草药
[262],"[865, 912, 1044]"
[88],"[862, 864, 865, 912, 913, 1109, 1153, 1182]"
[185],[1043]
[14],"[499, 606]"
[188],[967]
"[151, 375]",[1167]
[106],"[436, 831, 1013]"
[377],"[538, 901]"
[266],"[891, 987, 995, 1049]"
[369],"[569, 853, 958, 987, 1049]"
[106],"[436, 831, 1013]"
"[222, 276, 346]","[427, 436, 805, 862, 865, 868, 912, 947]"
[348],"[427, 436, 686, 824, 873, 986]"
[217],"[862, 978, 1165]"
[369],"[862, 979, 1044, 1147]"
[367],"[1044, 1191]"
[348],"[953, 994]"
[348],"[907, 953, 1095, 1100]"
[348],"[907, 1023, 1067]"
[362],"[864, 1044]"
[362],[1174]
[10],"[953, 954]"
[349],"[908, 915, 1049, 1078, 1159]"
[237],"[469, 486, 832, 839, 857, 867, 882, 893, 897, 1027, 1028, 1108, 1113, 1135]"
[266],"[656, 880, 1039, 1045, 1047, 1049, 1056]"
[330],"[794, 832, 867, 880, 884, 897, 898, 964, 995, 1048, 1119]"
[222],"[479, 792, 794, 884, 964, 1030]"
"[120, 328]","[934, 935, 936, 938]"
[348],"[491, 817, 831, 832, 897, 906, 907, 987, 1049, 1067, 1095]"
[348],"[907, 1023, 1067]"
[363],"[994, 1056]"
[210],[869]
"[217, 367]","[606, 831, 1016, 1023, 1049, 1066, 1089]"
"[241, 247, 259]","[659, 1067, 1078]"
"[253, 319, 330]","[794, 865, 953, 958]"
[367],"[739, 857, 1041, 1056, 1119]"
[348],"[629, 666, 828, 835, 840, 936, 1045, 1056]"
[10],[913]
[306],[827]
[306],[827]
[306],[584]
[372],[812]
"[14, 376]",[813]
[246],[821]
[367],"[1078, 1082, 1085, 1089, 1153, 1167]"
[363],[995]
"[246, 353]","[832, 882, 995]"
[206],"[995, 1016]"
[306],[584]
"[344, 352]","[645, 898, 901, 907, 1030, 1066, 1067]"
"[286, 363]","[827, 828, 832, 898, 934, 935, 936, 995, 997, 999, 1005, 1095]"
[236],[897]
[247],"[474, 894]"
[387],"[439, 473, 598, 755, 868, 886, 910, 1011, 1036]"
"[246, 353]","[598, 868, 871, 880, 898, 910, 993, 1001, 1013, 1036, 1049, 1055, 1152, 1165]"
"[286, 306]","[657, 813, 816, 820, 936, 965, 1049, 1056, 1060, 1067, 1081]"
"[286, 306]","[424, 598, 824, 826, 828, 829, 831, 832, 868, 880, 882, 897, 898, 936, 1027, 1028, 1045, 1049, 1056]"
"[344, 352]","[645, 898, 901, 907, 1030, 1066, 1067]"
[88],"[854, 865, 912, 913, 1021, 1119]"
[241],"[587, 852, 880, 898, 1108, 1113, 1174]"
[236],[897]
[247],"[474, 894]"
[325],"[591, 862, 864]"
[88],"[515, 769]"
[88],"[854, 865, 912, 913, 1021, 1119]"
[88],"[704, 854, 862, 865, 1021, 1044, 1122, 1138]"
[88],"[853, 854, 862, 880, 912, 913, 1021, 1119]"
[325],"[591, 862, 864]"
[325],"[862, 1044, 1165]"
[244],"[511, 815, 907, 936, 964, 1049]"
[312],"[422, 907, 993, 1095, 1098, 1120]"
[367],[1167]
[88],"[493, 853, 854, 856, 862, 865, 912, 913, 953, 954, 958, 987, 1044, 1091, 1182]"
"[29, 193, 222, 227, 306, 330, 367, 376]","[867, 1056, 1119, 1135]"
[367],"[867, 880, 1056, 1119]"
"[246, 325]","[489, 854, 865]"
[244],[859]
[262],"[858, 862, 1109]"
[325],"[817, 987, 997, 1095]"
[369],"[599, 912, 953]"
[367],"[909, 936, 1056, 1089, 1167]"
[367],[1167]
[312],[1101]
"[211, 369]","[455, 599, 865, 912, 947, 953, 954, 994, 1101]"
[341],[972]
"[247, 269, 363]","[474, 832, 868, 880, 888, 897, 898, 934]"
"[147, 349]","[815, 832, 964, 1049, 1159]"
[364],"[460, 530, 586, 875]"
"[246, 306, 367]","[475, 958, 1049]"
[306],"[587, 995, 996, 1001]"
"[147, 193, 208, 299, 367, 389]","[436, 831, 853, 1066, 1089, 1174]"
[188],"[893, 953, 956, 958, 1049]"
"[113, 338]",[1100]
"[82, 150]","[862, 1049, 1151]"
[354],"[880, 898, 936, 995, 996, 1045, 1056, 1067]"
"[165, 337]","[493, 1109, 1119, 1174]"
[330],"[440, 548, 794, 880, 898, 919, 994, 995, 1108, 1113, 1119, 1151]"
"[10, 242, 282, 338, 348, 389]","[489, 853, 865, 913, 945, 958, 979, 994, 1044]"
[242],"[489, 590, 865, 912, 913, 956, 978, 1067]"
[57],"[537, 817, 936, 950, 961, 1041, 1044, 1049, 1056]"
"[274, 369]","[427, 540, 584, 739, 805, 862, 865, 1044, 1120, 1163]"
"[193, 299, 367]","[805, 865, 868, 880, 952, 1182]"
[88],"[794, 868, 880, 912]"
[200],"[759, 819, 826, 827, 831, 865, 888, 912, 913, 1089, 1174]"
[88],"[794, 865, 868, 880, 886, 912, 913, 1119]"
"[165, 212, 325]","[440, 862, 865, 868, 912, 979, 987, 1119, 1174]"
[88],"[794, 832, 862, 868, 880, 893, 898, 912, 913]"
[254],"[994, 1028, 1049]"
[185],[1043]
[198],"[436, 438, 561, 817, 824, 907, 978, 979, 1095, 1100, 1165]"
[325],"[862, 978, 1095]"
[245],"[713, 906, 1145]"
[14],[1135]
[198],"[819, 964, 978, 979, 987, 1049]"
[196],"[645, 665, 908, 1039, 1049, 1056, 1078]"
[348],"[817, 907, 987, 1067, 1098]"
[219],"[827, 831, 897, 964, 1045, 1089]"
[204],"[569, 819, 827, 831, 832, 897, 936, 1045, 1049]"
"[219, 321]",[943]
[328],"[915, 1030, 1081, 1165]"
[290],"[938, 1165]"
[320],"[602, 1030, 1153, 1167]"
[363],"[858, 898]"
"[14, 236]","[586, 936]"
[262],"[894, 1109, 1136]"
[367],[831]
[80],"[906, 939]"
"[305, 363]","[964, 1030]"
"[318, 348, 372]","[652, 965, 1067, 1073, 1167]"
"[135, 254, 293, 306, 376]","[858, 994, 995, 1001, 1044]"
[215],"[493, 865, 1044, 1101]"
[14],"[813, 936, 1018, 1056]"
"[193, 371]","[499, 936, 1078, 1082]"
